usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
pretentious,improper,foster,more,less_conv,inconv,problematic,not_recom,not_recom
great_pret,critical,complete,3,convenient,inconv,slightly_prob,recommended,spec_prior
pretentious,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
pretentious,improper,complete,more,less_conv,convenient,nonprob,priority,spec_prior
great_pret,proper,completed,2,convenient,convenient,problematic,priority,priority
great_pret,proper,incomplete,1,less_conv,inconv,nonprob,priority,priority
usual,proper,incomplete,2,critical,convenient,slightly_prob,recommended,priority
usual,proper,foster,2,convenient,inconv,slightly_prob,recommended,priority
usual,proper,foster,2,convenient,convenient,problematic,recommended,priority
usual,critical,incomplete,more,critical,inconv,slightly_prob,recommended,priority
pretentious,improper,foster,3,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,proper,complete,2,critical,convenient,problematic,priority,spec_prior
great_pret,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,critical,foster,more,critical,inconv,nonprob,not_recom,not_recom
great_pret,critical,incomplete,2,less_conv,convenient,problematic,not_recom,not_recom
pretentious,improper,foster,2,convenient,inconv,problematic,recommended,spec_prior
pretentious,critical,complete,2,less_conv,convenient,problematic,priority,spec_prior
pretentious,very_crit,complete,2,critical,convenient,problematic,recommended,spec_prior
great_pret,proper,complete,more,critical,convenient,problematic,not_recom,not_recom
pretentious,improper,foster,1,less_conv,convenient,nonprob,not_recom,not_recom
pretentious,critical,complete,2,convenient,inconv,slightly_prob,recommended,priority
usual,improper,foster,more,convenient,inconv,problematic,priority,priority
usual,critical,incomplete,3,critical,inconv,slightly_prob,priority,spec_prior
great_pret,proper,complete,1,less_conv,convenient,slightly_prob,recommended,priority
usual,less_proper,incomplete,2,less_conv,inconv,problematic,not_recom,not_recom
great_pret,improper,incomplete,2,less_conv,inconv,slightly_prob,recommended,spec_prior
great_pret,very_crit,complete,more,less_conv,convenient,slightly_prob,priority,spec_prior
pretentious,very_crit,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,improper,foster,3,critical,convenient,problematic,recommended,priority
great_pret,improper,foster,2,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,critical,completed,2,critical,inconv,problematic,priority,spec_prior
usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
great_pret,proper,completed,2,convenient,convenient,problematic,recommended,priority
