usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
usual,improper,completed,more,less_conv,inconv,nonprob,not_recom,not_recom
great_pret,less_proper,incomplete,2,critical,inconv,nonprob,recommended,priority
great_pret,critical,foster,2,convenient,convenient,nonprob,recommended,priority
great_pret,very_crit,foster,1,critical,convenient,problematic,not_recom,not_recom
usual,less_proper,completed,2,convenient,convenient,nonprob,priority,priority
great_pret,less_proper,incomplete,3,convenient,convenient,problematic,not_recom,not_recom
great_pret,very_crit,complete,1,less_conv,inconv,problematic,recommended,spec_prior
great_pret,improper,complete,more,less_conv,inconv,problematic,not_recom,not_recom
great_pret,improper,incomplete,more,critical,inconv,slightly_prob,recommended,spec_prior
usual,improper,incomplete,1,convenient,convenient,slightly_prob,recommended,very_recom
usual,less_proper,incomplete,2,convenient,inconv,nonprob,not_recom,not_recom
usual,critical,completed,1,less_conv,inconv,problematic,recommended,priority
great_pret,improper,foster,2,convenient,inconv,nonprob,not_recom,not_recom
usual,improper,complete,more,critical,inconv,problematic,recommended,priority
usual,proper,completed,2,critical,inconv,problematic,priority,priority
usual,critical,completed,more,critical,inconv,problematic,not_recom,not_recom
great_pret,very_crit,complete,1,convenient,inconv,problematic,recommended,spec_prior
great_pret,improper,completed,1,critical,convenient,problematic,not_recom,not_recom
great_pret,improper,complete,3,convenient,convenient,slightly_prob,priority,spec_prior
usual,proper,foster,more,less_conv,inconv,problematic,recommended,priority
usual,less_proper,incomplete,1,less_conv,inconv,nonprob,recommended,very_recom
usual,improper,foster,1,convenient,inconv,problematic,recommended,priority
usual,improper,complete,2,convenient,convenient,problematic,not_recom,not_recom
great_pret,improper,foster,1,less_conv,inconv,nonprob,recommended,spec_prior
great_pret,very_crit,incomplete,more,critical,inconv,problematic,not_recom,not_recom
usual,proper,foster,more,less_conv,inconv,problematic,not_recom,not_recom
great_pret,critical,foster,1,convenient,convenient,slightly_prob,recommended,priority
great_pret,improper,foster,3,less_conv,convenient,problematic,recommended,spec_prior
great_pret,critical,completed,more,critical,inconv,problematic,recommended,spec_prior
usual,improper,incomplete,2,convenient,convenient,nonprob,recommended,very_recom
great_pret,very_crit,incomplete,1,less_conv,inconv,problematic,recommended,spec_prior
usual,less_proper,complete,2,less_conv,convenient,problematic,priority,priority
great_pret,improper,completed,2,less_conv,convenient,problematic,priority,spec_prior
usual,improper,foster,1,less_conv,inconv,problematic,recommended,priority
usual,less_proper,complete,1,critical,convenient,problematic,not_recom,not_recom
usual,less_proper,incomplete,3,less_conv,convenient,problematic,recommended,priority
great_pret,less_proper,foster,2,convenient,convenient,nonprob,recommended,priority
great_pret,less_proper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recom
great_pret,improper,complete,more,less_conv,inconv,problematic,recommended,spec_prior
usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,foster,3,convenient,convenient,slightly_prob,priority,priority
usual,proper,incomplete,2,convenient,convenient,nonprob,recommended,very_recom
great_pret,critical,completed,2,convenient,convenient,problematic,not_recom,not_recom
usual,critical,incomplete,1,critical,convenient,problematic,not_recom,not_recom
usual,less_proper,completed,more,critical,inconv,slightly_prob,recommended,priority
great_pret,improper,incomplete,2,convenient,convenient,nonprob,priority,spec_prior
usual,proper,completed,2,critical,inconv,nonprob,recommended,priority
great_pret,less_proper,incomplete,2,critical,inconv,problematic,priority,spec_prior
great_pret,critical,incomplete,more,less_conv,inconv,nonprob,not_recom,not_recom
